CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
682153743,04/21/2016,00:50:00,04/22/2016,00:00:00,04/22/2016,105,ROBBERY,396,"ROBBERY,BEGIN AS SHOPLIFTING",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,70,INSIDE,GROCERY/BODEGA,,,998235,170504,40.63466783,-73.949614575,"(40.63466783, -73.949614575)"
698318946,04/20/2016,23:30:00,04/20/2016,23:45:00,04/22/2016,105,ROBBERY,398,"ROBBERY,PUBLIC PLACE INSIDE",COMPLETED,FELONY,N.Y. TRANSIT POLICE,MANHATTAN,28,,TRANSIT - NYC SUBWAY,,,999342,233575,40.807780622,-73.945484727,"(40.807780622, -73.945484727)"
422623168,04/20/2016,16:30:00,04/20/2016,16:35:00,04/22/2016,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",ATTEMPTED,FELONY,N.Y. POLICE DEPT,QUEENS,106,,BUS (NYC TRANSIT),,,1037663,185218,40.674904457,-73.807442314,"(40.674904457, -73.807442314)"
973054988,04/20/2016,16:00:00,04/20/2016,16:05:00,04/22/2016,105,ROBBERY,387,"ROBBERY,CLOTHING",ATTEMPTED,FELONY,N.Y. POLICE DEPT,BRONX,40,,STREET,,,1007107,238501,40.821284437,-73.917418512,"(40.821284437, -73.917418512)"
366135693,04/21/2016,23:40:00,04/21/2016,23:45:00,04/21/2016,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",ATTEMPTED,FELONY,N.Y. POLICE DEPT,BROOKLYN,79,FRONT OF,STREET,,,995804,191650,40.692712424,-73.958337044,"(40.692712424, -73.958337044)"
129776316,04/21/2016,22:11:00,04/21/2016,22:18:00,04/21/2016,105,ROBBERY,383,"ROBBERY,DELIVERY PERSON",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,40,FRONT OF,STREET,,,1008223,238579,40.821495566,-73.913386099,"(40.821495566, -73.913386099)"
956631924,04/21/2016,21:30:00,04/21/2016,21:40:00,04/21/2016,105,ROBBERY,398,"ROBBERY,PUBLIC PLACE INSIDE",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,102,INSIDE,STREET,,,1029844,189279,40.686094686,-73.835603033,"(40.686094686, -73.835603033)"
979291445,04/21/2016,21:15:00,04/21/2016,21:20:00,04/21/2016,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,73,OPPOSITE OF,STREET,,,1011756,180242,40.661364855,-73.900859788,"(40.661364855, -73.900859788)"
594644887,04/21/2016,21:15:00,04/21/2016,21:20:00,04/21/2016,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,6,,STREET,,,982215,206543,40.733597472,-74.007344279,"(40.733597472, -74.007344279)"
755569980,04/21/2016,20:10:00,04/21/2016,20:13:00,04/21/2016,105,ROBBERY,384,"ROBBERY,POCKETBOOK/CARRIED BAG",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,103,INSIDE,CHAIN STORE,,,1041851,196064,40.704647894,-73.792251485,"(40.704647894, -73.792251485)"
